;created_at;text;Lang;user.screen_name;;
1;2021-08-30 02:54:18;Oohhh jadi model scarlett nya si joongki??? Mantab betol ini mah;id;peliinn93;;
2;2021-08-30 02:56:55;Tuj kan bener Scarlett whitening feat joongki ??????;id;Titaniafortier;;
3;2021-08-30 03:11:36;wkwk jgn2 beneran joongki ba scarlett https://t.co/mHoLf2VJHj;id;inthestarss_;;
4;2021-08-30 03:18:42;Jadi Song Joongki yang bakal jadi BA Scarlett??????? https://t.co/f5golQONL8;id;erelinee;;
5;2021-08-30 03:26:04;oh jadi joong ki mau jadi BA Scarlett ?? sungkem dlu deh?? https://t.co/UFC0Asd4oX;id;lesyeuxdeninio;;
6;2021-08-30 03:27:09;song joong ki mau jadi ambassador scarlett??;id;hobbyinsecure;;
7;2021-08-30 03:33:18;@akudindinya apakah joongki akan menjadi model scarlett?;id;goeunbyte;;
8;2021-08-30 03:38:50;Jangan² rumor BA idol korea buat scarlett adalah song joong ki, hmm markitung?????? https://t.co/51ptpmaF5G;id;thizisyourqueen;;
9;2021-08-30 03:39:12;Joongki BA Scarlett? Jadi ngebayangin ntar bikin sg ngebandingin warna kulit setelah pake lotion?? https://t.co/3qtY0TivL9;id;zennruby;;
10;2021-08-30 03:44:05;Kayak nya song Joong ki ini mah yang jadi BA Scarlett ??;id;afifah2209;;
11;2021-08-30 03:46:56;"jangan jangan Song Joong ki
BA baru Scarlett https://t.co/h6CuY2ryNk";id;liuri_jasmine;;
12;2021-08-30 03:48:46;hahh joongki jadi brand ambassador nya scarlett?? wkwk??;id;moccaramell_;;
13;2021-08-30 03:54:26;Jangan jangan yang jadi BA scarlett Song Joong Ki https://t.co/RIpZYBIpD3;id;lusifwrrr;;
14;2021-08-30 03:56:49;HAH? SONG JOONGKI JADI BA SCARLETT? https://t.co/nWCeJV0511;id;neoseaty;;
15;2021-08-30 04:08:30;Banyak duit dah Scarlett???? tapi kenapa Song Joongki yang udah putih dari sana ya;id;nayounged;;
16;2021-08-30 04:19:57;OHHHH JADI YANG MO JADI BA SCARLETT TU SONG JOONG KI????;id;mutiara_sy;;
17;2021-08-30 04:24:31;WAHHHH JOONGKI JADI BA NYA SCARLETT????;id;dungdungtakkk;;
18;2021-08-30 04:26:51;jangan2 yg bakal jd brand ambassador scarlett itu song joongki? ??;id;mxlxknxrxxnx;;
19;2021-08-30 04:27:33;@Askrlfess Eh jangan jangan Song Joongki yg jadi BA Scarlett? .....;id;FarahdinaPutri;;
20;2021-08-30 04:41:47;Felly bisa bisa nya gk kejang kejang vc sm song joong ki ?????? jan smpe hbs ini harga Scarlett naik!!!;id;Oliviaayuu1;;
21;2021-08-30 04:48:13;Scarlett Whitening bakal gaet song Joong ki kah?? Feli ngidam ketemu Vincenzo trus sama hito di kabulin vicall yallah meng iri;id;Istrinyasiwon_;;
22;2021-08-30 05:19:39;menurut gue song joongki bakal jadi BA scarlett deh makanya nih si feli bisa vidcall bareng sjk https://t.co/J2PQ18YzHG;id;28BBHCANDY;;
23;2021-08-30 05:22:20;Jangan² joongki oppa yang bakal kerja sama ama scarlett?? https://t.co/HXQXbZDa2L;id;masbrienthu;;
24;2021-08-30 05:30:42;Level max jangan2 setelah video call, nanti Joong Ki dijadiin BA scarlett;id;hayybubble;;
25;2021-08-30 05:32:20;Scarlett x Song Joong Ki? Hahaha siapa tau bener gossipnya BA Scarlett bakal dr artis korea terkenal?? https://t.co/kzEH1AOIFa;id;biyastufff;;
26;2021-08-30 06:01:38;Wahh jangan2 song joong ki yg bakal colab sma scarlett;id;iamagurl__;;
27;2021-08-30 06:08:14;"syg! tw/korea/
ni kalo song joong ki beneran jadi BA nya scarlett, plis deh scarlett harus kirimin gue hadiah?? 
gue paling peka soalnya soal ginian??";id;menfesssyg;;
28;2021-08-30 06:54:24;Jangan-jangan scarlett mau pake Joongki as BA ?? https://t.co/rXHQ7bP6q6;id;from_kangb;;
29;2021-08-30 07:21:24;Song joong ki deh kayanya yg bakal jadi BA scarlett???? aduh lemes bgt https://t.co/LOJ4VrgFUg;id;sukqses;;
30;2021-08-30 07:49:43;@glowbubu Eh ini beneran? Jangan2 BA nya scarlett itu beneran song joong ki;id;sweetestleeTY;;
31;2021-08-30 08:12:20;jangan2 song joongki jadi BA scarlett;id;do0doyi;;
32;2021-08-30 08:33:33;Sjdbslsbsjalmazhslabskl cape bgt kl joong ki beneran jd model/BAnya si scarlett aduh walaupun ttp chanyeol nomer 1 sih tp joong ki gbs didiemin;id;zahwaone_;;
33;2021-08-30 08:37:19;dia bakal jd ba scarlett wow banget song joong ki dong https://t.co/uYqlytL8ty;id;seonki_cheeks;;
34;2021-08-30 08:49:58;Demi apa sihhh my duda a.k.a joongki mau jd BA scarlett???????;id;mbalengss;;
35;2021-08-30 09:07:25;jadi kepikiran scarlett kan katanya mau jadiin orang korea brand ambassador nya jangan jangan song joongki??;id;kjwoohyuck;;
36;2021-08-30 09:26:02;"iyelah bayar. bentar lagi song joongki jadi ba scarlett deh :""";id;ramyeongurl;;
37;2021-08-30 09:59:36;ini plot twist nya iklan scarlett tiba-tiba sama joongki di korea;id;osborne___;;
38;2021-08-30 10:02:32;Bau bau song joongki bakal jadi ba scarlett;id;ballsandmeat;;
39;2021-08-30 11:04:40;kayaknya joongki BA scarlett dahh yg diomongin influencer2 ituu;id;littlwmn;;
40;2021-08-30 11:10:06;yang dimaksud bakalan ada actor yang jadi BA produk kecantikan cluenya bikin wangi dan glowing tuh song joong ki - scarlett toh;id;sometwinc;;
41;2021-08-30 11:25:04;Bentar deh, baru kepikiran, apa jangan2 song joong ki yaa artis korea yg bakal jadi BA scarlett???!!!? ?? https://t.co/ueDWxxbNNX;id;real___no1;;
42;2021-08-30 12:13:03;Kayaknya nih scarlett sm joong ki deh bukan songkang akekwkwk https://t.co/hGDPjmBa54;id;imsakyubin;;
43;2021-08-30 12:30:34;trus felicya itu kan yg punya scarlett, bikin konten vcan sama song joong ki, udah ngerti sampe di sini? ??;id;yoonetic;;
44;2021-08-30 12:48:35;Ini song joongki yg mau jadi BAnya scarlett? ??;id;peachybobaa;;
45;2021-08-30 13:16:24;bentar lagi song joongki jadi BA scarlett whitening;id;maplewafffle;;
46;2021-08-30 14:10:46;jangan2 BA scarlett tuh song joongki kali ya;id;ttreokbokki;;
47;2021-08-30 16:12:04;BA scarlett whitening yang dr korea tuh song joong ki kah;id;reginapfirdaus;;
48;2021-08-30 17:14:23;@settingalarm Kayanya scarlett whitening kontrak joongki deh buat jadi BA nya hmm;id;veetabeen;;
49;2021-08-31 00:04:10;dah ah, song joong ki jadi BA scarlett whitening ini mah udah hampir fix. ?????? https://t.co/9A93OqQbEo;id;QueenEster21;;
50;2021-08-31 03:46:20;Apakah Scarlett bakal kolab sama Song Joong Ki?;id;rouler_et_voir;;
51;2021-08-31 06:20:07;kyknya joongki jdi ba scarlett (?) ?? mantappp bener kalau iya https://t.co/NuON22iBGV;id;shellamk1;;
52;2021-08-31 06:28:32;ini karna joong ki bakal jadi BA nya scarlett makanya mau video call??;id;sometwinc;;
53;2021-08-31 16:06:36;scarlett mau jadiin song joong ki brand ambassador??? keren jugaa;id;nadiraruvenda;;
54;2021-09-01 01:36:18;Scarlett beneran pake joong ki?!! ????;id;fajriamld;;
55;2021-09-01 12:00:54;Tapi kalo ngeliat ini ya…. kayaknya bener kata kalian gaksi kalo ini scarlett?? Ini yang punya scarlett si ci feli kan ya? Eh bener gak sih? Kalau bener ini sama song joong ki… dah deh gatau lagi gue berkata apa ?????? yaampun mas vincenzo sayang;id;kamugemes;;
56;2021-09-01 12:12:31;Mahal banget gaksiii dia kan salah satu aktor termahal ya bukannya? Keren sih scarlett kalo emang beneran gaet song joong ki :');id;kamugemes;;
57;2021-09-01 12:17:53;plot twist mereka mau kerjasama terus scarlett buka cabang di korea dan mas vincenzo ini jadi ba???? gimana… https://t.co/Zn20SLawjd;id;vantaetanies;;
58;2021-09-01 14:04:44;Tuhkaaan ni maksudnya scarlett mau kerjasama sama song joong ki? Iyagasih? Scarlett kan? https://t.co/4f1axwV23b;id;dhelsadell;;
59;2021-09-03 05:10:09;HAHHH SONG JOONGKI JADI STAR AMBASSADORNYA SCARLETT????? INI GUE SALAH LIAT GA SIH;id;caleridula;;
60;2021-09-03 05:11:40;eh gila scarlett sekaya apa jir star ambassador nya song joongki;id;wonpilugm;;
61;2021-09-03 05:17:47;Song Joong Ki jadi brand ambasador Scarlett Whitening dong! Gila keren bgt??;id;auliarossari;;
62;2021-09-03 05:18:34;sudah kuduga joongki buat scarlett.. bkos ownernya kan ad video call sama joongki;id;van2fabiola;;
63;2021-09-03 05:20:34;scarlett bayar joongki brp ya? wkwk random;id;jaew00kk;;
64;2021-09-03 05:22:30;Ya Allah treasure jadi BA ruang guru terus song joongki di scarlett gila sih beneran korea-jkt tuh kaya jkt-depok yaa;id;somuchyoun;;
65;2021-09-03 05:25:52;Scarlett keren, aduh Song Joong Ki beneran????;id;febrinaaayu___;;
66;2021-09-03 05:26:44;song joongki jd ba scarlett??? wkwkwkwkwkwwkwkwkwkwkwwk;id;moondalmi;;
67;2021-09-03 05:27:27;song joongki x scarlett mantep woyy??;id;Arieyaniii;;
68;2021-09-03 05:29:31;Gila sih Scarlett gandeng Song Joong Ki buat jadi star ambasador;id;inibucinyoongi;;
69;2021-09-03 05:37:23;hahhaha ya kan.. hbs dia spoiler trus owner scarlett vidcall sama joongki...jd ya cocok2in aja LOL;id;van2fabiola;;
70;2021-09-03 05:42:22;w baru aja beli handbody scarlett kemaren karena dah abis wkwkwk taunya ya aduh joongki ?????? jgn mahal mahal kakak bundlenya pls dapet pc ??????;id;redbeenbingsu;;
71;2021-09-03 05:45:58;wow joongki beneran ba scarlett;id;inthestarss_;;
72;2021-09-03 05:48:17;joongki beneran jadi BA scarlett???????;id;seelviohexia;;
73;2021-09-03 05:48:30;ya allah song joongki bnrn jadi BA nya scarlett GUA NANGIS AJA DH??????????????????????????;id;twistykook;;
74;2021-09-03 05:50:21;besok2 gausah beli avoskin coba scarlett aja dah gua sjapa tau dpt pc song joongki https://t.co/tokXeRAaol;id;glazeud;;
75;2021-09-03 05:50:43;Gilaaak song joongki jadi ba scarlett WKWK;id;ghnvdw;;
76;2021-09-03 05:51:14;"treasure ba ruangguru
song joongki ba scarlett

emg hidup gw plot twist bgt isinye";id;DELIKYU;;
77;2021-09-03 05:53:14;PLISS MAU BORONG SCARLETT KALO ADA PC JOONGKI NYA WKWKWK;id;hweollz;;
