before;after;;;
22nya;dua duanya;;;
aa;ah;;;
aaa;ah;;;
aaaa;ah;;;
aaaaa;ah;;;
aaaaaaakkk;ah;;;
aaaaahhhh;ah;;;
aaaahhh;ah;;;
aaaammmiiiinnnn;amin;;;
aaahh;ah;;;
aaamiiin;amin;;;
aaamiiinnn;amin;;;
aaamin;amin;;;
aahh;ah;;;
aama;sama;;;
aamien;amien;;;
aamiiiiinnn;amin;;;
aamiiiinnnnn;amin;;;
aamiiin;amin;;;
aamiin;amin;;;
aamiinin;amin;;;
aamiinnn;amin;;;
aamin;amin;;;
aaww;wah;;;
ab;ambassador brand;;;
"abal\\""""";abal abal;;;
abal2;abal abal;;;
abanggg;abang;;;
abanggku;abangku;;;
abeees;habis;;;
abes;habis;;;
abes;habis;;;
abez;habis;;;
abg;abang;;;
abgnya;abangnya;;;
abgnyaah;abangnya;;;
abiez;habis;;;
abiiiiisssss;habis;;;
abiiiss;habis;;;
abis;habis;;;
abis2;habis habis;;;
abisin;habiskan;;;
abiss;habis;;;
abisss;habis;;;
abiz;habis;;;
abizzz;habis;;;
abizzz;habis;;;
abizzzz;habis;;;
abs;habis;;;
abt;tentang;;;
acne;jerawat;;;
acra;acara;;;
act;akting;;;
actor;aktor;;;
ad;ada;;;
ada2;ada ada;;;
adaa;ada;;;
adain;mengadakan;;;
adain;adakan;;;
adapin;menghadapi;;;
add;ada;;;
ade;adek;;;
adeeek;adek;;;
adek2;adek adek;;;
adekx;adeknya;;;
ademm;adem;;;
ademmm;adem;;;
adengan;adegan;;;
adengan;adegan;;;
adenya;adeknya;;;
adeuh;aduh;;;
adiik;adik;;;
adkah;adakah;;;
adl;adalah;;;
adlh;adalah;;;
adminnya;admin nya;;;
ados;mandi;;;
ads;iklan;;;
aduhh;aduh;;;
aduhhh;aduh;;;
aduhhhhhhhhh;aduh;;;
aduu;aduh;;;
aduuh;aduh;;;
aduuhh;aduh;;;
aduuhhh;aduh;;;
aduuhhhh;aduh;;;
aduuuh;aduh;;;
adyem;adem;;;
ae;saja;;;
aee;saja;;;
aelah;alah;;;
aer;air;;;
affordable;terjangkau;;;
after;setelah;;;
agama'ny;agamanya;;;
agan2;agan agan;;;
agk;agak;;;
agma;agama;;;
agma;agama;;;
ahahah;tertawa;;;
ahahahanjirrr;anjir;;;
ahh;ah;;;
ahhh;ah;;;
ahhhh;ah;;;
aigoo;ya ampun;;;
aing;saya;;;
aj;saja;;;
aja;saja;;;
ajaa;saja;;;
ajaaa;saja;;;
ajaaahhhhh;saja;;;
ajah;saja;;;
ajahhh;saja;;;
ajaibb;ajaib;;;
ajaibbbbb;ajaib;;;
ajakin;mengajak;;;
ajarin;ajarkan;;;
aje;saja;;;
ajg;anjing;;;
ajggg;anjing;;;
ajh;saja;;;
ajha;saja;;;
ajhh;saja;;;
ajibb;ajib;;;
ajj;saja;;;
ajja;saja;;;
ajjh;saja;;;
ak;saya;;;
aka;as known as;;;
akang;kakak;;;
akau;saya;;;
akekwkwk;tertawa;;;
akhirt;akhirat;;;
akhlah;akhlak;;;
akhrt;akhirat;;;
akkhh;ah;;;
akn;akan;;;
akuh;saya;;;
akuhh;saya;;;
akumah;saya mah;;;
akutuh;saya itu;;;
akutuhhh;saya itu;;;
akuu;saya;;;
akuuu;saya;;;
akuuuur;akur;;;
ala2;ala ala;;;
ala2;ala ala;;;
alaami;alami;;;
alak;kepala;;;
alamii;alami;;;
alamiii;alami;;;
alhamd;alhamdulillah;;;
alhamdulillaaaaah;alhamdulillah;;;
alissnyaa;alisnya;;;
alkhamdulilah;alhamdulillah;;;
allaahh;allah;;;
allahh;allah;;;
allahhhh;allah;;;
allahhhhhhh;allah;;;
allahuakbarrr;allahu akbar;;;
alloh;allah;;;
alm;almarhum;;;
almh;almarhumah;;;
aloh;allah;;;
alu;saya;;;
am;sama;;;
ama;sama;;;
amaattt;amat;;;
amad;amat;;;
amatt;amat;;;
ambas;ambassador;;;
ambasador;ambassador;;;
ambasadornya;ambassador nya;;;
ambassadornya;ambassador nya;;;
ambilin;mengambil;;;
ameen;amin;;;
amen;amin;;;
amfun;ampun;;;
amiend;amien;;;
amienn;amien;;;
amiennn;amien;;;
amiennnn;amien;;;
amiien;amien;;;
amiiiiiiiiiiiiiiiiin;amin;;;
amiiiiiiiiiiin;amin;;;
amiiiiiiiiiinnnnnnn;amin;;;
amiiiiin;amin;;;
amiiiiinnn;amin;;;
amiiiiinnn;amin;;;
amiiiiinnnnn;amin;;;
amiiiin;amin;;;
amiiin;amin;;;
amiiinn;amin;;;
amiiinnn;amin;;;
amiiinnnn;amin;;;
amiin;amin;;;
amiinn;amin;;;
amiinnn;amin;;;
amiinnnn;amin;;;
amin2;amin amin;;;
aminn;amin;;;
aminn2;amin amin;;;
aminnn;amin;;;
aminnnn;amin;;;
aminnnn2;amin amin;;;
aminnnnn;amin;;;
amit2;amit amit;;;
ammiiin;amin;;;
ammin;amin;;;
amohhh;kamu;;;
ampe;sampai;;;
ampee;sampai;;;
amploppp;amplop;;;
ampunn;ampun;;;
ampunn;ampun sampai;;;
ampunnnn;ampun;;;
ampunnnnn;ampun;;;
ampuun;ampun;;;
ampuunn;ampun;;;
ampuuun;ampun;;;
ampuuunn;ampun;;;
ampyunnnn;ampun;;;
amu;kamu;;;
"anak\\""""";anak anak;;;
anak2;anak anak;;;
anak2e;anak anaknya;;;
anak2mu;anak anakmu;;;
anak2nya;anak anaknya;;;
anakny;anaknya;;;
anakx;anaknya;;;
anak'y;anaknya;;;
ancur;hancur;;;
ancurrr;hancur;;;
and;dan;;;
andaaa;anda;;;
aned;banget;;;
anedh;banget;;;
aneed;banget;;;
aneh2;aneh aneh;;;
anehhh;aneh;;;
aneut;banget;;;
anj;anjing;;;
anjaaaayyyyyy;anjay;;;
anjaayy;anjay;;;
anjayy;anjir;;;
anjayyyy;anjay;;;
anjer;anjir;;;
anjerrr;anjir;;;
anjingnyaa;anjingnya;;;
anjirr;anjir;;;
anjirrr;anjir;;;
anjirrrr;anjir;;;
anjirt;anjir;;;
anjjjjjjjj;anjing;;;
anjr;anjir;;;
anjrit;anjir;;;
anjrittt;anjir;;;
anjrt;anjir;;;
ank;anak;;;
"ank\\""""";anak anak;;;
ank2;anak anak;;;
ank2nya;anak anaknya;;;
ankknyaaa;anaknya;;;
anknya;anaknya;;;
ankx;anaknya;;;
annnnjjjjjjrrrr;anjir;;;
anterin;antar;;;
anugrah;anugerah;;;
anyeng;anjing;;;
anyeong;halo;;;
ap;apa;;;
"apa\\""""";apa apa;;;
apa2;apa apa;;;
apa2nya;apa apanya;;;
apaa;apa;;;
apaaa;apa;;;
apaaaa;apa;;;
apaaaaaaa;apa;;;
apaaaah;apa;;;
apaaan;apaan;;;
apaalahh;apalah;;;
apah;apa;;;
apain;apai;;;
apal;hapal;;;
apalagiii;apalagi;;;
apalagiiii;apalagi;;;
apalai;apalagi;;;
apalg;apalagi;;;
apalgi;apalagi;;;
apasi;apa sih;;;
apasihhh;apasih;;;
apasiii;apa sih;;;
apdet;update;;;
ape;apa;;;
apikkkk;apik;;;
aplikasiin;mengaplikasikan;;;
aplks;aplikasi;;;
apo;apa;;;
appa;apa;;;
applikasi;aplikasi;;;
apun;apapun;;;
apus;hapus;;;
aq;saya;;;
aqu;saya;;;
arab2;arab arab;;;
arghhh;ah;;;
arghhhh;ah;;;
artez;artis;;;
"artis\\""""";artis artis;;;
artis2;artis artis;;;
artisnyaa;artisnya;;;
"artist\\""""";artis artis;;;
artix;artinya;;;
artix;artinya;;;
as;sebagai;;;
asik;asyik;;;
asikkk;asik;;;
asl;asli;;;
asliii;asli;;;
asliiii;asli;;;
asliiiii;asli;;;
aslinyo;aslinya;;;
astafirullah;astagfirullah;;;
astagaa;astaga;;;
astagaaa;astaga;;;
astagaaaa;astaga;;;
astagaaaaaa;astaga;;;
astagaaaaaaaa;astaga;;;
astagfirrullah;astagfirullah;;;
astagfirullh;astagfirullah;;;
astauviruloh;astagfirullah;;;
astgfrlh;astagfirullah;;;
astgfrullah;astagfirullah;;;
asuuu;asu;;;
asyikkkkk;asyik;;;
at;di;;;
atassan;atasan;;;
atassss;atas;;;
"ati\\""""";hati hati;;;
ati2;hati hati;;;
ato;atau;;;
ats;atas;;;
atu;satu;;;
atuhh;atuh;;;
atuhhh;atuh;;;
atulahhh;lah;;;
atutt;takut;;;
atuu;satu;;;
atw;atau;;;
aurot;aurat;;;
auto;otomatis;;;
autuhh;tau tuh;;;
awaas;awas;;;
awal2;awal awal;;;
awareness;kesadaran;;;
awk;awak;;;
awl;awal;;;
awoohhh;allah;;;
aww;wah;;;
ayaaaang;sayang saya;;;
ayahh;ayah;;;
ayank;sayang;;;
ayok;ayo;;;
ayoklaa;ayolah;;;
ayoo;ayo;;;
ayooo;ayo;;;
ayoook;ayo;;;
ayoookkkkkk;ayo;;;
ayoooo;ayo;;;
ayooook;ayo;;;
ayuk;ayo;;;
ayukk;ayo;;;
aza;saja;;;
azaab;azab;;;
azeeeek;asik;;;
azekkkk;asik;;;
b2;berdua;;;
b2an;berduaan;;;
b3;bertiga;;;
ba;brand ambassador;;;
baaaaaang;bang;;;
baaiikkk;baik;;;
baang;bang;;;
baanget;banget;;;
baanggeettt;banget;;;
babang;abang;;;
babget;banget;;;
baca2;baca baca;;;
bacaaaa;baca;;;
bacaaaa;baca;;;
bacahalah;bacalah;;;
bacotin;bacoti;;;
bad;jelek;;;
badaaiii;badai;;;
badaii;badai;;;
badingkan;membandingkan;;;
bae2;baik baik;;;
baek;baik;;;
baek2;baik baik;;;
bagaatt;banget;;;
bagaimanaaa;bagaimana;;;
bagaimna;bagaimana;;;
baget;banget;;;
bagi2;bagi bagi;;;
bagiii;bagi;;;
bagiin;bagikan;;;
bagiin;membagikan;;;
bagus2;bagus bagus;;;
bagus2;bagus bagus;;;
bagusan;lebih bagus;;;
bagusin;dibaguskan;;;
bagusnyeee;bagusnya;;;
baguss;bagus;;;
bagusss;bagus;;;
bagusss;bagus;;;
bagussss;bagus;;;
baguusss;bagus;;;
baguuus;bagus;;;
baguuuuus;bagus;;;
bahas2;bahas bahas;;;
baik2;baik baik;;;
baik2nya;baik baiknya;;;
baikk;baik;;;
baikxa;baiknya;;;
baju.a;bajunya;;;
baju2;baju baju;;;
baju2;baju baju;;;
baju'a;bajunya;;;
bakar2in;bakar bakari;;;
bakattt;bakat;;;
bales;balas;;;
bales2in;balas membalas;;;
balesin;membalas;;;
balurin;balurkan;;;
bandingin;bandingkan;;;
banet;banget;;;
bang;abang;;;
bangat;banget;;;
bangcat;bangsat;;;
banged;banget;;;
bangedd;banget;;;
bangedt;banget;;;
bangeeeeetttt;banget;;;
bangeeeet;banget;;;
bangeeet;banget;;;
bangeeettt;banget;;;
bangeeettt;banget;;;
bangeer;banget;;;
bangeet;banget;;;
bangeett;banget;;;
bangeettt;banget;;;
bangeetttt;banget;;;
banger;banget;;;
bangets;banget;;;
bangett;banget;;;
bangettt;banget;;;
bangetttt;banget;;;
bangettttt;banget;;;
bangetttttt;banget;;;
bangettttttt;banget;;;
bangetttttttt;banget;;;
bangetttttyt;banget;;;
bangg;bang;;;
"bangga\\""in""";membangga banggakan;;;
bangga2in;membangga banggakan;;;
banggaaaaa;bangga;;;
banggain;banggakan;;;
bangget;banget;;;
banggett;banget;;;
bangke;bangkai;;;
bangkret;bangkrut;;;
bangrt;banget;;;
bangshad;bangsat;;;
bangt;banget;;;
"bangt\\""""";banget banget;;;
banhet;banget;;;
bante;bantai;;;
bantuanny;bantuannya;;;
bantuim;bantu;;;
banx;bang;;;
banya;brand ambassador nya;;;
banyaaaaaak;banyak;;;
banyaaaak;banyak;;;
banyaak;banyak;;;
banyak2;banyak banyak;;;
banyakin;membanyaki;;;
bape;bawa perasaan;;;
bapeeeer;bawa perasaan;;;
bapeerr;bawa perasaan;;;
baper;bawa perasaan;;;
baperr;bawa perasaan;;;
baraang;barang;;;
barang2;barang barang;;;
barengg;bareng;;;
baru2;baru baru;;;
barusan;baru saja;;;
baruu;baru;;;
basodaraa;bersaudara;;;
bat;banget;;;
batesin;batasi;;;
batikk;batik;;;
battt;banget;;;
batwc;banget;;;
"bawa\\""""";bawa bawa;;;
bawa2;bawa bawa;;;
bawak;bawa;;;
bayangin;bayangkan;;;
bazengg;bajingan;;;
bbanget;banget;;;
bbrp;beberapa;;;
bbrpa;beberapa;;;
bc;baca;;;
bca;baca;;;
bcnda;bercanda;;;
bcnda;bercanda;;;
bdampingan;berdampingan;;;
bdan;badan;;;
bdn;badan;;;
bdn;badan;;;
be;menjadi;;;
beauty;kecantikan;;;
bebrp;beberapa;;;
becanda;bercanda;;;
because;karena;;;
beda2;beda beda;;;
bedaa;beda;;;
bedaaa;beda;;;
bedain;membedakan;;;
bedainnya;membedakannya;;;
bedanyaaa;bedanya;;;
bedua;berdua;;;
before;sebelum;;;
begete;banget;;;
beginii;begini;;;
beginiiii;begini;;;
begok;bego;;;
behh;beh;;;
behhh;beh;;;
bejilbbnya;berjilbabnya;;;
bekerjasama;bekerja sama;;;
"bela\\""in""";membela bela;;;
bela2in;membela bela;;;
belain;membela;;;
belanjaa;belanja;;;
beliiin;belikan;;;
beliin;membelikan;;;
bellain;membela;;;
belli;beli;;;
belom;belum;;;
beloman;belum;;;
belooomm;belum;;;
beluumm;belum;;;
benahin;membenahi;;;
"benar\\""""";benar benar;;;
"benar\\""""";benar benar;;;
benar2;benar benar;;;
benarin;membenarkan;;;
benda2;benda benda;;;
benefit;manfaat;;;
benefitnya;manfaatnya;;;
bener;benar;;;
"bener\\""""";benar benar;;;
bener2;benar benar;;;
beneraan;benaran;;;
beneran;benaran;;;
benerann;benaran;;;
benerannya;benarannya;;;
benerin;benarkan;;;
benerr;benar;;;
benet;benar;;;
benetaran;benaran;;;
bengkak2;bengkak bengkak;;;
benneeeeeerr;benar;;;
benneran;benaran;;;
benran;benarannya;;;
bentar;sebentar;;;
bentarr;bentar;;;
ber2;berdua;;;
berangat;berangkat;;;
berani2;berani berani;;;
berapaa;berapa;;;
berape;berapa;;;
berarto;berarti;;;
berasa;merasa;;;
berati;berarti;;;
beratttttttt;berat;;;
berbakiti;berbakti;;;
berbeda2;berbeda beda;;;
berbiiiiiihhh;barbie;;;
berenanh;berenang;;;
ber'expresi;berekspresi;;;
berfikir;berpikir;;;
bergunaa;berguna;;;
berhijap;berhijab;;;
berhijap;berhijab;;;
berjayaa;berjaya;;;
berjinah;berzina;;;
berkluarga;berkeluarga;;;
bermaksut;bermaksud;;;
berntung;beruntung;;;
bertatto;bertato;;;
bertolernsi;bertoleransi;;;
beruntungnyaaaa;beruntungnya;;;
"besar\\""""";besar besar;;;
besar2an;besar besaran;;;
besar2in;besar besarkan;;;
besarin;membesarkan;;;
besokkk;besok;;;
besook;besok;;;
best;terbaik;;;
bet;banget;;;
bete;bosan;;;
betol;betul;;;
bets;banget;;;
bettt;banget;;;
betul2;betul betul;;;
betuuuuulllllllllllllllll;betul;;;
beud;banget;;;
beudd;banget;;;
beut;banget;;;
bg;bang;;;
bgd;banget;;;
bgect;banget;;;
bget;banget;;;
bgettt;banget;;;
bgi;bagi;;;
bgini;begini;;;
bgitu;begitu;;;
bgmana;bagaimana;;;
bgmn;bagaimana;;;
bgmna;bagaimana;;;
bgni;begini;;;
bgs;bagus;;;
bgt;banget;;;
bgtt;banget;;;
bgttt;banget;;;
bgtttt;banget;;;
bgttttt;banget;;;
bgtttttt;banget;;;
bgttttttt;banget;;;
bgtttttttt;banget;;;
bgtu;begitu;;;
bgtuu;begitu;;;
bgun;bangun;;;
bgus;bagus;;;
bgussss;bagus;;;
bhagaia;bahagia;;;
bhagia;bahagia;;;
bhas;bahas;;;
bhet;banget;;;
bhgia;bahagia;;;
bhgiain;membahagiakan;;;
bhijab;berhijab;;;
bhkn;bahkan;;;
bhn;bahan;;;
bhnya;bahannya;;;
bhs;bahasa;;;
bhw;bahwa;;;
bhwa;bahwa;;;
biarin;biarkan;;;
biarin;biarkan;;;
biasa2;biasa biasa;;;
biasaa;biasa;;;
biasaaa;biasa;;;
biasaaaa;biasa;;;
biasahhh;biasa;;;
big;besar;;;
bigbos;big boss;;;
bijak2;bijak bijak;;;
bijin;bikin;;;
bikin;membuat;;;
bikinin;buatkan;;;
bikinin;membuatkan;;;
bikinnn;membuat;;;
"bilang\\""""";bilang bilang;;;
bilang2;bilang bilang;;;
bilangg;bilang;;;
bilangin;bilang;;;
bilanh;bilang;;;
bilng;bilang;;;
bilng;bilang;;;
binggo;banget;;;
bingiiittttzzzz;banget;;;
bingiiittzz;banget;;;
bingiit;banget;;;
bingiit;banget;;;
bingiittt;banget;;;
bingit;banget;;;
bingits;banget;;;
bingits;banget;;;
bingitss;banget;;;
bingitsss;banget;;;
bingitt;banget;;;
bingittzz;banget;;;
bingittzz;banget;;;
bingitzzzz;banget;;;
bird;biru;;;
biri;biru;;;
birthday;ulang tahun;;;
bisaa;bisa;;;
bisaaa;bisa;;;
bisaan;bisa;;;
bisabisa;bisa bisa;;;
bisabisanya;bisa bisanya;;;
bisax;bisanya;;;
bisi;bisa;;;
biza;bisa;;;
bju;baju;;;
bka;buka;;;
bkal;bakal;;;
bkan;bukan;;;
bkin;bikin;;;
bkin;membuat;;;
bkl;bakalan;;;
bkln;bakalan;;;
bkln;bakalan;;;
bkn;bukan;;;
bkn;bikin;;;
bkos;because;;;
blajar;belajar;;;
blakon;berlakon;;;
bleh;boleh;;;
blg;bilang;;;
blh;boleh;;;
bli;beli;;;
bli2n;beli belikan;;;
blik;balik;;;
blim;belum;;;
bljr;belajar;;;
blkang;belakang;;;
blkng;belakang;;;
blln;bulan;;;
blm;belum;;;
bln;bulan;;;
blng;bilang;;;
blnja;belanja;;;
bloghhh;goblok;;;
blom;belum;;;
bls;balas;;;
blum;belum;;;
bnda;bunda;;;
bner;benar;;;
"bner\\""""";benar benar;;;
bner2;benar benar;;;
bneraan;benaran;;;
bneran;benaran;;;
bnern;benaran;;;
bnerr;benar;;;
bng;bang;;;
bngatt;banget;;;
bngeeeetttt;banget;;;
bngeet;banget;;;
bngeet;banget;;;
bnget;banget;;;
bngett;banget;;;
bngettt;banget;;;
bngetttt;banget;;;
bnggain;banggakan;;;
bngkit;bangkit;;;
bngt;banget;;;
bngtt;banget;;;
bngttt;banget;;;
bngtttt;banget;;;
bngtzt;banget;;;
bngun;bangun;;;
bngunlah;bangunlah;;;
bngy;banget;;;
bnk;bang;;;
bnr;benar;;;
bnr2;benar benar;;;
bnran;benaran;;;
bnrbnr;benar benar;;;
bnrn;benaran;;;
bntar;bentar;;;
bntr;bentar;;;
bntu;bantu;;;
bnyak;banyak;;;
bnyk;banyak;;;
bodhoo;bodoh;;;
bodhooo;bodoh;;;
bodong;bohong;;;
bodycare;body care;;;
bodycarenya;body care nya;;;
bodynya;body nya;;;
boker;berak;;;
boker;berak;;;
bol3h;boleh;;;
bolang;bocah petualang;;;
bole;boleh;;;
boleh2;boleh boleh;;;
boong;bohong;;;
bo'ong;bohong;;;
boongan;bohongan;;;
boro2;boro boro;;;
bosaan;bosan;;;
bosaan;bosan;;;
bosen;bosan;;;
bosen2;bosan bosan;;;
bosenin;membosankan;;;
boss;bos;;;
botakin;botaki;;;
botakkkk;botak;;;
box;kotak;;;
bpkmu;bapakmu;;;
bpknya;bapaknya;;;
br;baru;;;
bradegan;beradegan;;;
branding;merek;;;
brandingnya;mereknya;;;
brandnya;brand nya;;;
brangnya;barangnya;;;
brani;berani;;;
branjak;beranjak;;;
brantem;berantem;;;
brapa;berapa;;;
brarti;berarti;;;
brasa;berasa;;;
brayyy;bray;;;
brayyy;bray;;;
brbakti;berbakti;;;
brbuat;berbuat;;;
brdiri;berdiri;;;
brdua;berdua;;;
breathe;bernapas;;;
brengsekk;brengsek;;;
bres;beres;;;
brewok;jenggot;;;
brg;bareng;;;
"brg\\""""";bareng bareng;;;
brhasil;berhasil;;;
brhjb;berhijab;;;
brisi;berisi;;;
brita;berita;;;
britanya;beritanya;;;
brjdh;berjodoh;;;
brjodoh;berjodoh;;;
brkunjun;berkunjung;;;
bro;kawan;;;
bronis;brondong manis;;;
broooo;kawan;;;
brp;berapa;;;
brpa;berapa;;;
brpndapat;berpendapat;;;
brrt;berarti;;;
brrti;berarti;;;
brsama;bersama;;;
brsma;bersama;;;
brsma;bersama;;;
brsyukur;bersyukur;;;
brtngkar;bertengkar;;;
bru;baru;;;
brubah;berubah;;;
brusaha;berusaha;;;
bs;bisa;;;
bsa;bisa;;;
bsk;besok;;;
bsok;besok;;;
bt;buat;;;
btuh;butuh;;;
btul;betul;;;
btulan;betulan;;;
btw;by the way;;;
buanget;banget;;;
buanyaaak;banyak;;;
buat;untuk;;;
buatin;buatkan;;;
buatin;membuat;;;
budget;anggaran;;;
bujngn;bujangan;;;
bujukk;bujuk;;;
buka2;buka buka;;;
buka2an;buka bukaan;;;
bukak;buka;;;
bukan'a;bukannya;;;
bukn;bukan;;;
bukti2;bukti bukti;;;
buktiin;buktikan;;;
buktiin;membuktikan;;;
buktinyaaa;buktinya;;;
bulet;bulat;;;
bun;bunda;;;
bund;bunda;;;
bundaa;bunda;;;
bundaaa;bunda;;;
bundaaaa;bunda;;;
bundaaaa;bunda;;;
bundd;bunda;;;
bundlenya;bundle nya;;;
bunga2;bunga bunga;;;
bungggg;bung;;;
bungkusin;bungkuskan;;;
bungkuuussss;bungkus;;;
bungkuuuuuuuuusss;bungkus;;;
burem;buram;;;
buruann;buruan;;;
buruannn;buruan;;;
busedh;buset;;;
buseett;buset;;;
busett;buset;;;
but;tapi;;;
buuun;bun;;;
bw;bawa;;;
"bwa\\""""";bawa bawa;;;
bwt;buat;;;
by;oleh;;;
byak;banyak;;;
byangin;membayangkan;;;
byaran;bayaran;;;
byk;banyak;;;
byuti;beauty;;;
bz;bisa;;;
c;sih;;;
caaannnttiikkk;cantik;;;
caantiiik;cantik;;;
cabe2;cabe cabe;;;
cabe2an;cabe cabean;;;
cabol;cabul;;;
cadasss;cadas;;;
cailah;wah;;;
cakeeeeppp;cakep;;;
cakeep;cakep;;;
cakep;cakap;;;
cakepinn;cakapin;;;
cakepp;cakep;;;
cakeupp;cakap;;;
cali;caci;;;
campaign;kampanye;;;
campurin;mencampuri;;;
canci;cantik;;;
cannnnntikkkkkkk;cantik;;;
cannntikk;cantik;;;
cans;cantik;;;
canteek;cantik;;;
canti;cantik;;;
cantiiiiiiik;cantik;;;
cantiiiik;cantik;;;
cantiiiikk;cantik;;;
cantiiik;cantik;;;
cantiiikk;cantik;;;
cantiiikkk;cantik;;;
cantiiillx;cantik;;;
cantiik;cantik;;;
